kepid,tce_plnt_num,pred_score,pred_class,norm_kepid
003118883,01,0.000,0,100001645
003119250,01,0.000,0,100001645
003119256,01,0.000,0,100001645
003119307,01,0.000,0,100001645
003119603,01,0.000,0,100001645
003119604,01,0.000,0,100001645
003120057,01,0.000,0,100001645
003120276,01,0.000,0,100001645
003120308,01,0.000,0,100001645
003120320,01,0.000,0,100001645
003120355,01,0.995,1,100001645
003120397,01,0.000,0,100001645
003120431,01,0.000,0,100001645
003120467,01,0.000,0,100001645
003120650,01,0.000,0,100001645
003120796,01,0.000,0,100001645
003120904,01,0.994,1,100001645
003121340,01,0.000,0,100001645
003122188,01,0.000,0,100001645
003122450,01,0.000,0,100001645
003122556,01,0.000,0,100001645
003122872,01,0.999,1,100001645
003122913,01,1.000,1,100001645
003122985,01,0.349,0,100001645
003123138,01,0.000,0,100001645
003123292,01,0.000,0,100001645
003124286,01,0.001,0,100001645
003124412,01,0.000,0,100001645
003124420,01,0.000,0,100001645
003124511,01,0.000,0,100001645
003124598,01,0.000,0,100001645
003127817,01,0.000,0,100001645
003128325,01,0.000,0,100001645
003128488,01,0.000,0,100001645
003128552,01,0.999,1,100001645
003128585,01,0.000,0,100001645
003128793,01,0.000,0,100001645
003128814,01,0.000,0,100001645
003128853,01,0.000,0,100001645
003129238,01,0.998,1,100001645
003129539,01,0.000,0,100001645
003130300,01,0.000,0,100001645
003130548,01,0.000,0,100001645
003216449,01,0.000,0,100001645
003216518,01,0.000,0,100001645
003216700,01,0.000,0,100001645
003217264,01,1.000,1,100001645
003217554,01,0.000,0,100001645
003218637,01,0.000,0,100001645
003218688,01,0.000,0,100001645
003218844,01,0.147,0,100001645
003218908,01,1.000,1,100001645
003219037,01,1.000,1,100001645
003219256,01,0.000,0,100001645
003219400,01,0.000,0,100001645
003219535,01,0.000,0,100001645
003219623,01,0.000,0,100001645
003219643,01,0.000,0,100001645
003219995,01,1.000,1,100001645
003221077,01,0.000,0,100001645
003221119,01,0.000,0,100001645
003221310,01,0.000,0,100001645
003222104,01,0.000,0,100001645
003222163,01,0.000,0,100001645
003222183,01,0.000,0,100001645
003222369,01,0.000,0,100001645
003222471,01,0.000,0,100001645
003222680,01,0.000,0,100001645
003223433,01,1.000,1,100001645
003223460,01,0.000,0,100001645
003228725,01,0.000,0,100001645
003228740,01,0.000,0,100001645
003228804,01,0.000,0,100001645
003228824,01,0.000,0,100001645
003228825,01,0.000,0,100001645
003228918,01,0.000,0,100001645
003228931,01,0.000,0,100001645
003228945,01,0.000,0,100001645
003228959,01,0.000,0,100001645
003228986,01,0.000,0,100001645
003228988,01,0.000,0,100001645
003229028,01,0.000,0,100001645
003229073,01,0.000,0,100001645
003229150,01,0.999,1,100001645
003230095,01,0.000,0,100001645
003230206,01,0.000,0,100001645
003230227,01,0.000,0,100001645
003230578,01,0.000,0,100001645
003230753,01,0.000,0,100001645
003230787,01,0.000,0,100001645
003230805,01,0.992,1,100001645
003230884,01,0.000,0,100001645
003231120,01,0.000,0,100001645
003231137,01,0.000,0,100001645
003231341,01,1.000,1,100001645
003231406,01,0.000,0,100001645
003231410,01,0.000,0,100001645
003232249,01,0.967,1,100001645
003232514,01,0.000,0,100001645
003232859,01,0.000,0,100001645
003233043,01,0.000,0,100001645
003233302,01,0.000,0,100001645
003234139,01,0.000,0,100001645
003234598,01,1.000,1,100001645
003234843,01,0.997,1,100001645
003235174,01,0.000,0,100001645
003235282,01,0.011,0,100001645
003236385,01,0.000,0,100001645
003236705,01,0.864,1,100001645
003238010,01,0.000,0,100001645
003238073,01,0.000,0,100001645
003238245,01,0.000,0,100001645
003238787,01,0.000,0,100001645
003238955,01,0.000,0,100001645
003239171,01,0.609,1,100001645
003239219,01,0.000,0,100001645
003239508,01,0.000,0,100001645
003239636,01,0.000,0,100001645
003239671,01,0.997,1,100001645
003239926,01,0.000,0,100001645
003239945,01,0.000,0,100001645
003240049,01,0.000,0,100001645
003240141,01,0.000,0,100001645
003240158,01,1.000,1,100001645
003240159,01,0.000,0,100001645
003240231,01,0.000,0,100001645
003240305,01,0.000,0,100001645
003240406,01,0.000,0,100001645
003240556,01,0.000,0,100001645
003240667,01,0.000,0,100001645
003240706,01,0.000,0,100001645
003240976,01,0.000,0,100001645
003241164,01,0.000,0,100001645
003241199,01,0.000,0,100001645
003241248,01,0.000,0,100001645
003241344,01,0.000,0,100001645
003241557,01,0.000,0,100001645
003241581,01,0.000,0,100001645
003241604,01,0.000,0,100001645
003241619,01,0.000,0,100001645
003241647,01,0.000,0,100001645
003241662,01,0.000,0,100001645
003241685,01,0.000,0,100001645
003242039,01,0.000,0,100001645
003244792,01,1.000,1,100001645
003245000,01,0.000,0,100001645
003245420,01,0.000,0,100001645
003245638,01,0.000,0,100001645
003245661,01,0.000,0,100001645
003245969,01,1.000,1,100001645
003246083,01,0.000,0,100001645
003246782,01,0.000,0,100001645
003246890,01,0.000,0,100001645
003246984,01,0.773,1,100001645
003247039,01,0.000,0,100001645
003247268,01,0.934,1,100001645
003247294,01,0.000,0,100001645
003247306,01,0.000,0,100001645
003247396,01,0.000,0,100001645
003247404,01,0.000,0,100001645
003247503,01,0.000,0,100001645
003247616,01,0.000,0,100001645
003247777,01,0.000,0,100001645
003248019,01,0.000,0,100001645
003248033,01,0.000,0,100001645
003248332,01,0.000,0,100001645
003248501,01,1.000,1,100001645
003248696,01,0.000,0,100001645
003322943,01,0.000,0,100001645
003323168,01,0.000,0,100001645
003323289,01,0.000,0,100001645
003323887,01,0.000,0,100001645
003324644,01,0.000,0,100001645
003324986,01,0.000,0,100001645
003326304,01,0.000,0,100001645
003326377,01,1.000,1,100001645
003326428,01,0.000,0,100001645
003326917,01,0.000,0,100001645
